resample,low_bandwidth,high_bandwidth,use_extrapolate,use_interpolate,name,DEVICE,GRANGE,SR,RPM,N,mean,sd,se,cv,SERIES
50,0.2,5,TRUE,TRUE,Proposed,MAT2C47090050,3,30,5,24,180.505682230192,3.52963411130021,0.720483545950624,0.0195541440451664,MAT2C47090050: 30Hz, 3g
50,0.2,5,TRUE,TRUE,Proposed,MAT2C47090050,3,30,6,24,108.663804418841,2.33213342035153,0.476044740996078,0.02146191579454,MAT2C47090050: 30Hz, 3g
50,0.2,5,TRUE,TRUE,Proposed,MAT2C47090050,3,30,7,18,57.7269435864624,0.931495071487173,0.219555493896809,0.016136227099777,MAT2C47090050: 30Hz, 3g
50,0.2,5,TRUE,TRUE,Proposed,MAT2C47090050,3,30,8,24,40.5630910502882,2.85748046451429,0.583280757335921,0.0704453331964203,MAT2C47090050: 30Hz, 3g
50,0.2,5,TRUE,TRUE,Proposed,Nexus 4,4,50,1,18,10.4871627653741,0.129829306039519,0.0306010608990959,0.0123798313179788,Nexus 4: 50Hz, 4g
50,0.2,5,TRUE,TRUE,Proposed,Nexus 4,4,50,2,18,41.4746910575766,0.346074501237672,0.0815705422069701,0.00834423337252204,Nexus 4: 50Hz, 4g
50,0.2,5,TRUE,TRUE,Proposed,Nexus 4,4,50,3,18,93.0418871530507,0.715229202126657,0.168581139642134,0.00768717428259091,Nexus 4: 50Hz, 4g
50,0.2,5,TRUE,TRUE,Proposed,Nexus 4,4,50,4,18,156.357473216132,1.41435065620888,0.333365646660314,0.0090456223621229,Nexus 4: 50Hz, 4g
50,0.2,5,TRUE,TRUE,Proposed,Nexus 4,4,50,5,18,188.947306656527,2.19047603339109,0.516300152412484,0.0115930524343117,Nexus 4: 50Hz, 4g
50,0.2,5,TRUE,TRUE,Proposed,Nexus 4,4,50,6,18,142.755798701918,1.36890173767175,0.322653233828581,0.0095891147688515,Nexus 4: 50Hz, 4g
50,0.2,5,TRUE,TRUE,Proposed,Nexus 4,4,50,7,18,95.1940772170681,1.86653382324755,0.439946241244131,0.0196076675967072,Nexus 4: 50Hz, 4g
50,0.2,5,TRUE,TRUE,Proposed,Nexus 4,4,50,8,18,92.0654317331436,10.624783505012,2.50428548834433,0.115404699733647,Nexus 4: 50Hz, 4g
50,0.2,5,TRUE,TRUE,Proposed,TAS1C32140067,16,100,1,30,10.995594941327,0.0965220536846645,0.0176224353666051,0.00877824748908178,TAS1C32140067: 100Hz, 16g
50,0.2,5,TRUE,TRUE,Proposed,TAS1C32140067,16,100,2,30,43.3803812115396,0.251683986098788,0.0459509988497076,0.0058017928628031,TAS1C32140067: 100Hz, 16g
