ID,MPH,name,LOCATION,N,mean,sd,se,cv,SERIES,
GT3X+,10,Actigraph count algorithm,Nondominant wrist,75,30089.50793,8377.191774,967.3147852,0.278409065,GT3X+: Hz, g
GT3X+,10,Actigraph count algorithm,Waist,75,9550.034754,1998.584131,230.7766172,0.209275064,GT3X+: Hz, g
GT3X+,11.2,Actigraph count algorithm,Nondominant wrist,68,33475.80987,9501.770852,1152.258966,0.28383991,GT3X+: Hz, g
GT3X+,11.2,Actigraph count algorithm,Waist,68,9506.709075,1823.225607,221.0985811,0.191783044,GT3X+: Hz, g
GT3X+,12.4,Actigraph count algorithm,Nondominant wrist,62,35476.11046,10817.04995,1373.766718,0.304910821,GT3X+: Hz, g
GT3X+,12.4,Actigraph count algorithm,Waist,62,9484.690388,2025.499473,257.2386903,0.213554622,GT3X+: Hz, g
GT9X,1.9,Actigraph count algorithm,Nondominant wrist,99,2493.246043,1056.076197,106.1396514,0.423574801,GT9X: Hz, g
GT9X,1.9,Actigraph count algorithm,Waist,99,2028.947232,694.8250982,69.83254986,0.342455973,GT9X: Hz, g
GT9X,3.1,Actigraph count algorithm,Nondominant wrist,98,4480.952089,987.8776184,99.79070899,0.220461545,GT9X: Hz, g
GT9X,3.1,Actigraph count algorithm,Waist,98,4064.970177,779.9270956,78.78453402,0.191865392,GT9X: Hz, g
GT9X,4.3,Actigraph count algorithm,Nondominant wrist,99,7046.503899,1662.70886,167.108528,0.235962242,GT9X: Hz, g
GT9X,4.3,Actigraph count algorithm,Waist,99,6402.939893,1314.781773,132.1405401,0.205340327,GT9X: Hz, g
GT9X,5,Actigraph count algorithm,Nondominant wrist,97,16974.72074,3701.677559,375.8484114,0.218070012,GT9X: Hz, g
GT9X,5,Actigraph count algorithm,Waist,97,7323.560377,2136.541123,216.9328836,0.291735305,GT9X: Hz, g
GT9X,6.2,Actigraph count algorithm,Nondominant wrist,99,21722.32098,5648.193448,567.6648003,0.260017954,GT9X: Hz, g
GT9X,6.2,Actigraph count algorithm,Waist,99,8750.717886,2976.148505,299.1141791,0.340103354,GT9X: Hz, g
GT9X,7.5,Actigraph count algorithm,Nondominant wrist,99,23931.00097,5742.033268,577.096057,0.239941207,GT9X: Hz, g
GT9X,7.5,Actigraph count algorithm,Waist,99,9469.346605,3080.915997,309.6437082,0.325356767,GT9X: Hz, g
GT9X,8.6,Actigraph count algorithm,Nondominant wrist,98,26985.94693,6862.488961,693.2160685,0.254298616,GT9X: Hz, g
GT9X,8.6,Actigraph count algorithm,Waist,98,9748.004198,2700.729744,272.8149023,0.277054635,GT9X: Hz, g
GT9X,10,Actigraph count algorithm,Nondominant wrist,80,30652.18218,8390.462573,938.0822338,0.273731329,GT9X: Hz, g
GT9X,10,Actigraph count algorithm,Waist,80,9894.703309,2428.325329,271.4950253,0.245416689,GT9X: Hz, g
GT9X,11.2,Actigraph count algorithm,Nondominant wrist,73,34080.91185,9841.176171,1151.822549,0.28875918,GT9X: Hz, g
GT9X,11.2,Actigraph count algorithm,Waist,73,9802.992838,2168.642209,253.820372,0.221222462,GT9X: Hz, g
GT9X,12.4,Actigraph count algorithm,Nondominant wrist,67,35757.51042,10231.6408,1249.993872,0.28613963,GT9X: Hz, g
GT9X,12.4,Actigraph count algorithm,Waist,67,9224.385982,2220.258979,271.2478058,0.240694501,GT9X: Hz, g
