ID,MPH,name,LOCATION,N,mean,sd,se,cv,SR,GRANGE,SERIES
GT9X,1.9,Proposed,Waist,68,17.2604238331175,3.06641180267213,0.371857051589937,0.177655649265611,85.8823529411765,8,GT9X: 85.8823529411765Hz, 8g
GT9X,3.1,Proposed,Nondominant wrist,68,23.9309409025977,3.8445676107283,0.466222304231215,0.160652588896367,85.8823529411765,8,GT9X: 85.8823529411765Hz, 8g
GT9X,3.1,Proposed,Waist,68,28.7234797909627,2.39597822956309,0.290555038740266,0.0834153190003442,85.8823529411765,8,GT9X: 85.8823529411765Hz, 8g
GT9X,4.3,Proposed,Nondominant wrist,68,36.3065830004984,8.67057833113435,1.05146206748408,0.238815598014699,85.8823529411765,8,GT9X: 85.8823529411765Hz, 8g
GT9X,4.3,Proposed,Waist,68,47.7082338083542,7.40629155162493,0.898144775337333,0.155241369474634,85.8823529411765,8,GT9X: 85.8823529411765Hz, 8g
GT9X,5,Proposed,Nondominant wrist,68,96.1135837375978,27.1504357143101,3.29247394798949,0.282482815211991,85.8823529411765,8,GT9X: 85.8823529411765Hz, 8g
GT9X,5,Proposed,Waist,68,62.878411989737,14.5181132996252,1.76057984173645,0.230891856842613,85.8823529411765,8,GT9X: 85.8823529411765Hz, 8g
GT9X,6.2,Proposed,Nondominant wrist,68,136.947043618406,28.0326221220054,3.39945476388396,0.204696803825254,85.8823529411765,8,GT9X: 85.8823529411765Hz, 8g
GT9X,6.2,Proposed,Waist,68,77.286786615793,15.0938111354965,1.830393458964,0.195296140471341,85.8823529411765,8,GT9X: 85.8823529411765Hz, 8g
GT9X,7.5,Proposed,Nondominant wrist,68,151.342029934913,25.9499566215829,3.14689447444067,0.171465630748729,85.8823529411765,8,GT9X: 85.8823529411765Hz, 8g
GT9X,7.5,Proposed,Waist,68,85.6979703713421,17.5590655911221,2.12934947409838,0.204894766060807,85.8823529411765,8,GT9X: 85.8823529411765Hz, 8g
GT9X,8.6,Proposed,Nondominant wrist,67,169.490131835393,45.4054875592701,5.54716318584315,0.267894579274782,85.9701492537313,8,GT9X: 85.9701492537313Hz, 8g
GT9X,8.6,Proposed,Waist,67,90.2129349889893,25.8780890028924,3.16151175448638,0.286855637786875,85.9701492537313,8,GT9X: 85.9701492537313Hz, 8g
GT9X,10,Proposed,Nondominant wrist,52,203.649246986693,46.4846692190915,6.44626378432373,0.228258488096098,81.5384615384615,8,GT9X: 81.5384615384615Hz, 8g
GT9X,10,Proposed,Waist,52,103.897062394555,19.9560492828413,2.7674061132681,0.192075202348427,81.5384615384615,8,GT9X: 81.5384615384615Hz, 8g
GT9X,11.2,Proposed,Nondominant wrist,45,228.063925302147,58.755721353807,8.75878580094323,0.257628299942507,81.7777777777778,8,GT9X: 81.7777777777778Hz, 8g
GT9X,11.2,Proposed,Waist,45,106.367431187638,22.9889825074044,3.42699517467398,0.21612802199623,81.7777777777778,8,GT9X: 81.7777777777778Hz, 8g
GT9X,12.4,Proposed,Nondominant wrist,38,227.381322928554,55.0715105090094,8.93377869858923,0.242198918537885,82.1052631578947,8,GT9X: 82.1052631578947Hz, 8g
GT9X,12.4,Proposed,Waist,38,102.119463876518,22.0189092013212,3.57193874238755,0.215619122598865,82.1052631578947,8,GT9X: 82.1052631578947Hz, 8g
GT9X2g,1.9,Proposed,Nondominant wrist,68,16.4062290366707,4.19122855874791,0.508261119083027,0.255465686196372,85.8823529411765,2,GT9X2g: 85.8823529411765Hz, 2g
GT9X2g,1.9,Proposed,Waist,68,17.260582199637,3.06646273123819,0.371863227585738,0.177656969838635,85.8823529411765,2,GT9X2g: 85.8823529411765Hz, 2g
GT9X2g,3.1,Proposed,Nondominant wrist,68,23.931761508239,3.84728924804012,0.466552351234488,0.160760805121496,85.8823529411765,2,GT9X2g: 85.8823529411765Hz, 2g
GT9X2g,3.1,Proposed,Waist,68,28.8134157622166,2.38678236410572,0.289439876252038,0.0828358006493465,85.8823529411765,2,GT9X2g: 85.8823529411765Hz, 2g
GT9X2g,4.3,Proposed,Nondominant wrist,68,36.3414565002227,8.6714980391978,1.05157359846909,0.238611736410307,85.8823529411765,2,GT9X2g: 85.8823529411765Hz, 2g
GT9X2g,4.3,Proposed,Waist,68,47.5417327072626,7.42964176183696,0.900976404251585,0.156276209106321,85.8823529411765,2,GT9X2g: 85.8823529411765Hz, 2g
GT9X2g,5,Proposed,Nondominant wrist,68,97.8068019323984,27.8042893641309,3.37176534981027,0.284277665916819,85.8823529411765,2,GT9X2g: 85.8823529411765Hz, 2g
GT9X2g,5,Proposed,Waist,68,63.3830695905997,15.9531816046008,1.934607435895,0.251694682943643,85.8823529411765,2,GT9X2g: 85.8823529411765Hz, 2g
GT9X2g,6.2,Proposed,Nondominant wrist,68,133.960539388545,24.6458480747073,2.98874808367482,0.183978417728099,85.8823529411765,2,GT9X2g: 85.8823529411765Hz, 2g
GT9X2g,6.2,Proposed,Waist,68,74.7224147211941,11.9861872079249,1.45353870313828,0.160409527082978,85.8823529411765,2,GT9X2g: 85.8823529411765Hz, 2g
GT9X2g,7.5,Proposed,Nondominant wrist,68,147.100162725157,23.9908423960041,2.9093169778315,0.163091882099606,85.8823529411765,2,GT9X2g: 85.8823529411765Hz, 2g
GT9X2g,7.5,Proposed,Waist,68,81.8096913283422,12.9267852007111,1.56760296418244,0.158010438504523,85.8823529411765,2,GT9X2g: 85.8823529411765Hz, 2g
GT9X2g,8.6,Proposed,Nondominant wrist,67,163.207170378577,41.2438748859754,5.03874127792058,0.252708718558785,85.9701492537313,2,GT9X2g: 85.9701492537313Hz, 2g
GT9X2g,8.6,Proposed,Waist,67,84.7267161546948,20.5881791423716,2.51524640613161,0.242995126882783,85.9701492537313,2,GT9X2g: 85.9701492537313Hz, 2g
GT9X2g,10,Proposed,Nondominant wrist,52,196.003090659544,46.1305104862804,6.39715080467743,0.235356036127046,81.5384615384615,2,GT9X2g: 81.5384615384615Hz, 2g
GT9X2g,10,Proposed,Waist,52,95.1112043359706,11.6399108532207,1.61416520858143,0.122382120324162,81.5384615384615,2,GT9X2g: 81.5384615384615Hz, 2g
GT9X2g,11.2,Proposed,Nondominant wrist,45,223.470364042056,74.1730017482601,11.0570582669547,0.331914265527849,81.7777777777778,2,GT9X2g: 81.7777777777778Hz, 2g
