DEVICE,GRANGE,SR,RPM,name,N,mean,sd,se,cv,SERIES
MAT2C47090050,3,30,1,Actigraph count algorithm,31,5088.70845423737,36.5231894215401,6.55975846703682,0.00717730043880333,MAT2C47090050: 30Hz, 3g
MAT2C47090050,3,30,2,Actigraph count algorithm,31,12863.0458365337,51.5952272356268,9.26677637079484,0.00401112053018467,MAT2C47090050: 30Hz, 3g
MAT2C47090050,3,30,3,Actigraph count algorithm,25,13226.617327204,57.2319814077366,11.4463962815473,0.00432703086449959,MAT2C47090050: 30Hz, 3g
MAT2C47090050,3,30,4,Actigraph count algorithm,25,10442.975391063,82.2558359869808,16.4511671973962,0.00787666664975331,MAT2C47090050: 30Hz, 3g
MAT2C47090050,3,30,5,Actigraph count algorithm,25,5276.71673746319,56.7860804524238,11.3572160904848,0.0107616313851488,MAT2C47090050: 30Hz, 3g
MAT2C47090050,3,30,6,Actigraph count algorithm,25,5018.90355521644,1022.06118509554,204.412237019108,0.203642324234992,MAT2C47090050: 30Hz, 3g
MAT2C47090050,3,30,7,Actigraph count algorithm,19,2072.10650493663,603.324033620155,138.412025934715,0.291164586464442,MAT2C47090050: 30Hz, 3g
MAT2C47090050,3,30,8,Actigraph count algorithm,25,3862.84474187499,1498.28850281771,299.657700563543,0.387871789558504,MAT2C47090050: 30Hz, 3g
Nexus 4,4,50,1,Actigraph count algorithm,18,4837.98974326581,49.2976511712241,11.6195678132472,0.0101896973303516,Nexus 4: 50Hz, 4g
Nexus 4,4,50,2,Actigraph count algorithm,18,12111.1202898003,47.6160302934182,11.22320597122,0.00393159585191467,Nexus 4: 50Hz, 4g
Nexus 4,4,50,3,Actigraph count algorithm,18,12393.6004264474,97.1210439817318,22.8916495984665,0.00783638657370943,Nexus 4: 50Hz, 4g
Nexus 4,4,50,4,Actigraph count algorithm,18,10220.9332835659,142.234816637977,33.5250677885129,0.0139160302383221,Nexus 4: 50Hz, 4g
Nexus 4,4,50,5,Actigraph count algorithm,18,7941.03206283573,598.991308307224,141.18360532528,0.0754299067888823,Nexus 4: 50Hz, 4g
Nexus 4,4,50,6,Actigraph count algorithm,18,9227.8188052496,719.735317144747,169.6432411375,0.0779962559229379,Nexus 4: 50Hz, 4g
