k,spar,average_extrapolation_rate,sd_extrapolation_rate,min_extrapolation_rate
0.35,0.9,-0.166953772280707,0.59091037620797,-1.65985623175201
0.45,0.9,-0.179423916992517,0.589634231783884,-1.67386668187895
0.95,0.8,-0.197470377288555,0.575704731263361,-1.68719544282197
0.25,1,-0.198155806527744,0.611977730973865,-1.88408994623764
0.55,0.9,-0.205932756735855,0.587183051285065,-1.69721952273283
0.65,0.9,-0.259640089815804,0.592083359624333,-1.70879042187984
0.35,1,-0.291458153112138,0.605568554443624,-1.80593468078975
0.75,0.9,-0.298954612241728,0.590242290139921,-1.71991655992931
0.85,0.9,-0.326487092701624,0.585990249312375,-1.73755026831785
0.45,1,-0.327106999270448,0.592423302969561,-1.73121321874022
0.55,1,-0.346203750737897,0.589269131798728,-1.72854247141787
0.95,0.9,-0.351886488052391,0.579873963663666,-1.74515867669409
0.65,1,-0.380502762260257,0.578950648050467,-1.73975395596997
0.75,1,-0.403393087837447,0.570957654294451,-1.72775541134242
0.85,1,-0.419372713289357,0.563609250898122,-1.72253436368562
0.95,1,-0.433858899235783,0.551798715240036,-1.7144405209288
