HEADER_TIME_STAMP,RAWX,group
2014-12-17 11:08:20,0.07373,gt
2014-12-17 11:08:20,0.186035,gt
2014-12-17 11:08:20,0.101074,gt
2014-12-17 11:08:20,0.098633,gt
2014-12-17 11:08:20,0.771973,gt
2014-12-17 11:08:20,1.407715,gt
2014-12-17 11:08:20,1.142578,gt
2014-12-17 11:08:20,1.875977,gt
2014-12-17 11:08:20,4.108398,gt
2014-12-17 11:08:20,5.699707,gt
2014-12-17 11:08:20,4.670898,gt
2014-12-17 11:08:20,4.367188,gt
2014-12-17 11:08:20,3.719727,gt
2014-12-17 11:08:20,2.315918,gt
2014-12-17 11:08:20,2.111816,gt
2014-12-17 11:08:20,1.733887,gt
2014-12-17 11:08:20,1.338867,gt
2014-12-17 11:08:20,0.54248,gt
2014-12-17 11:08:20,-0.255859,gt
2014-12-17 11:08:20,-0.398438,gt
2014-12-17 11:08:20,-0.518066,gt
2014-12-17 11:08:20,-0.856445,gt
2014-12-17 11:08:20,-1.104492,gt
2014-12-17 11:08:20,-1.223145,gt
2014-12-17 11:08:20,-1.154297,gt
2014-12-17 11:08:20,-1.177246,gt
2014-12-17 11:08:20,-1.087402,gt
2014-12-17 11:08:20,-0.671387,gt
2014-12-17 11:08:20,-0.610352,gt
2014-12-17 11:08:20,-0.28418,gt
2014-12-17 11:08:20,0.444336,gt
2014-12-17 11:08:20,0.082031,gt
2014-12-17 11:08:20,-0.033691,gt
2014-12-17 11:08:20,0.23291,gt
2014-12-17 11:08:20,1.166504,gt
2014-12-17 11:08:20,2.008789,gt
2014-12-17 11:08:20,1.797852,gt
2014-12-17 11:08:20,2.555176,gt
2014-12-17 11:08:20,4.401855,gt
2014-12-17 11:08:20,3.225586,gt
2014-12-17 11:08:20,2.385742,gt
2014-12-17 11:08:20,2.228027,gt
2014-12-17 11:08:20,1.996582,gt
2014-12-17 11:08:20,1.375977,gt
2014-12-17 11:08:20,1.303223,gt
2014-12-17 11:08:20,2.127441,gt
2014-12-17 11:08:20,3.371094,gt
2014-12-17 11:08:20,3.038086,gt
2014-12-17 11:08:20,2.262207,gt
2014-12-17 11:08:20,1.660156,gt
2014-12-17 11:08:20,1.355957,gt
2014-12-17 11:08:20,0.703125,gt
2014-12-17 11:08:20,-0.284668,gt
2014-12-17 11:08:20,-1.09082,gt
2014-12-17 11:08:20,-1.579102,gt
2014-12-17 11:08:20,-1.877441,gt
2014-12-17 11:08:20,-1.639648,gt
2014-12-17 11:08:20,-0.57959,gt
2014-12-17 11:08:20,-0.114746,gt
2014-12-17 11:08:20,-0.135742,gt
2014-12-17 11:08:20,-0.218262,gt
2014-12-17 11:08:20,-0.061035,gt
2014-12-17 11:08:20,0.134766,gt
2014-12-17 11:08:20,0.371094,gt
2014-12-17 11:08:20,0.516113,gt
2014-12-17 11:08:20,0.513184,gt
2014-12-17 11:08:20,0.479492,gt
2014-12-17 11:08:20,0.988281,gt
2014-12-17 11:08:20,0.703613,gt
2014-12-17 11:08:20,0.858887,gt
