low_bandwidth,high_bandwidth,use_extrapolate,use_interpolate,name,DEVICE,GRANGE,SR,RPM,N,mean,sd,se,cv,SERIES
0.2,5,TRUE,TRUE,Proposed,MAT2C47090050,3,30,6,24,161.462960045724,3.68016909356292,0.751211370532504,0.0227926522127474,MAT2C47090050: 30Hz, 3g
0.2,5,TRUE,TRUE,Proposed,MAT2C47090050,3,30,7,18,96.4818565288234,2.21897175802269,0.52301665911976,0.0229988501243214,MAT2C47090050: 30Hz, 3g
0.2,5,TRUE,TRUE,Proposed,MAT2C47090050,3,30,8,24,72.8527028247323,4.92616936053701,1.00555010998735,0.0676182100256226,MAT2C47090050: 30Hz, 3g
0.2,5,TRUE,TRUE,Proposed,Nexus 4,4,50,1,18,15.6012753165648,2.06056432433895,0.485679668937049,0.132076659281253,Nexus 4: 50Hz, 4g
0.2,5,TRUE,TRUE,Proposed,Nexus 4,4,50,2,18,58.8029034212091,1.77427745473171,0.418201206649066,0.0301732967507138,Nexus 4: 50Hz, 4g
0.2,5,TRUE,TRUE,Proposed,Nexus 4,4,50,3,18,130.9268060438,1.37975546934303,0.325211482917229,0.0105383726299827,Nexus 4: 50Hz, 4g
0.2,5,TRUE,TRUE,Proposed,Nexus 4,4,50,4,18,220.400064025098,0.492761993487185,0.11614511570193,0.00223576157142618,Nexus 4: 50Hz, 4g
0.2,5,TRUE,TRUE,Proposed,Nexus 4,4,50,5,18,272.110491931684,2.33914396105115,0.551341519010276,0.00859630198176414,Nexus 4: 50Hz, 4g
0.2,5,TRUE,TRUE,Proposed,Nexus 4,4,50,6,18,216.422348144188,2.48967175006775,0.586821259133829,0.0115037646131122,Nexus 4: 50Hz, 4g
0.2,5,TRUE,TRUE,Proposed,Nexus 4,4,50,7,18,148.740643668872,5.76095185253709,1.35786937367273,0.0387315242857371,Nexus 4: 50Hz, 4g
0.2,5,TRUE,TRUE,Proposed,Nexus 4,4,50,8,18,150.530976520168,15.1710193129185,3.57584354455892,0.1007833713939,Nexus 4: 50Hz, 4g
0.2,5,TRUE,TRUE,Proposed,TAS1C32140067,16,100,1,30,16.0079259136407,1.65187391917558,0.301589535895644,0.103191002262697,TAS1C32140067: 100Hz, 16g
0.2,5,TRUE,TRUE,Proposed,TAS1C32140067,16,100,2,30,61.7663791693212,1.34079234715024,0.244794071154828,0.0217074784888184,TAS1C32140067: 100Hz, 16g
0.2,5,TRUE,TRUE,Proposed,TAS1C32140067,16,100,3,24,137.935958717965,0.908119033432159,0.185369021468187,0.0065836279522222,TAS1C32140067: 100Hz, 16g
0.2,5,TRUE,TRUE,Proposed,TAS1C32140067,16,100,4,24,232.35772416073,0.716250038747207,0.146203926931611,0.00308253164956871,TAS1C32140067: 100Hz, 16g
0.2,5,TRUE,TRUE,Proposed,TAS1C32140067,16,100,5,24,273.360136249571,0.297125750899508,0.0606505399287578,0.00108693884549516,TAS1C32140067: 100Hz, 16g
0.2,5,TRUE,TRUE,Proposed,TAS1C32140067,16,100,6,24,233.737440916285,0.854294784961138,0.174382192756289,0.00365493342278489,TAS1C32140067: 100Hz, 16g
0.2,5,TRUE,TRUE,Proposed,TAS1C32140067,16,100,7,18,182.076733737748,1.00404309837184,0.236655227820761,0.0055143953747435,TAS1C32140067: 100Hz, 16g
0.2,5,TRUE,TRUE,Proposed,TAS1C32140067,16,100,8,24,163.667845317854,3.66437519320548,0.747987454122163,0.0223890965637693,TAS1C32140067: 100Hz, 16g
0.2,5,TRUE,TRUE,Proposed,TAS1E23150139,8,60,2,18,59.8914880655888,1.46736413011738,0.345861042291966,0.0245003785598119,TAS1E23150139: 60Hz, 8g
0.2,5,TRUE,TRUE,Proposed,TAS1E23150139,8,60,3,18,132.736002048477,0.656448544510848,0.154726405774553,0.00494551993716898,TAS1E23150139: 60Hz, 8g
0.2,5,TRUE,TRUE,Proposed,TAS1E23150139,8,60,4,18,219.498806010059,0.375728553864735,0.0885600694410564,0.00171175670927119,TAS1E23150139: 60Hz, 8g
