ID,MPH,name,LOCATION,N,mean,sd,se,cv,SERIES
GT3X+,1.9,Proposed,Nondominant wrist,72,15.8966561971909,4.1040144078009,0.483662736307218,0.258168407046894,GT3X+: Hz, g
GT3X+,1.9,Proposed,Waist,72,16.2296805280578,2.05660567692262,0.242373303396456,0.126718802219623,GT3X+: Hz, g
GT3X+,3.1,Proposed,Nondominant wrist,72,25.4293810266748,3.59047999179978,0.423142124986041,0.141194156005349,GT3X+: Hz, g
GT3X+,3.1,Proposed,Waist,72,28.7539022060142,2.45703504089353,0.289564356504797,0.0854504902774419,GT3X+: Hz, g
GT3X+,4.3,Proposed,Nondominant wrist,71,39.1086932856609,5.87584039763089,0.697333961038282,0.150243843605617,GT3X+: Hz, g
GT3X+,4.3,Proposed,Waist,71,49.2520946325921,4.873938300371,0.578430057804883,0.0989590054337652,GT3X+: Hz, g
GT3X+,5,Proposed,Nondominant wrist,71,102.556178888057,28.2350281177559,3.35088134887405,0.275312793669655,GT3X+: Hz, g
GT3X+,5,Proposed,Waist,71,65.7908964025845,7.64378367995215,0.907150227056873,0.116182999440814,GT3X+: Hz, g
GT3X+,6.2,Proposed,Nondominant wrist,72,136.489419017946,29.591743977848,3.48742047231209,0.216806139192059,GT3X+: Hz, g
GT3X+,6.2,Proposed,Waist,72,75.6099550248834,8.38242193827065,0.987877899219677,0.110863998470995,GT3X+: Hz, g
GT3X+,7.5,Proposed,Nondominant wrist,72,146.069434154504,27.3979758291377,3.22888241659473,0.187568165699593,GT3X+: Hz, g
GT3X+,7.5,Proposed,Waist,72,82.9777904966476,9.16249670748128,1.0798105924099,0.110421073550415,GT3X+: Hz, g
GT3X+,8.6,Proposed,Nondominant wrist,69,162.904230193715,37.2806241692376,4.48805974418361,0.228849945301641,GT3X+: Hz, g
GT3X+,8.6,Proposed,Waist,69,87.3687696072282,9.80684560103948,1.18060547376156,0.112246580158182,GT3X+: Hz, g
GT3X+,10,Proposed,Nondominant wrist,72,189.256274973124,46.6682777136519,5.49990927293671,0.246587743102727,GT3X+: Hz, g
GT3X+,10,Proposed,Waist,72,91.5494629215576,11.9323818216609,1.40624468363392,0.130338086547651,GT3X+: Hz, g
GT3X+,11.2,Proposed,Nondominant wrist,65,214.680659642628,60.2077456275225,7.46785174912433,0.280452583515201,GT3X+: Hz, g
GT3X+,11.2,Proposed,Waist,65,94.1634079433596,12.7995687591214,1.58759111389394,0.135929327948925,GT3X+: Hz, g
GT3X+,12.4,Proposed,Nondominant wrist,58,233.285099022303,60.4024098145547,7.93122496888028,0.25892099438713,GT3X+: Hz, g
GT3X+,12.4,Proposed,Waist,58,92.7795570246102,12.9605764178032,1.70180705722758,0.139692156693153,GT3X+: Hz, g
GT9X,1.9,Proposed,Nondominant wrist,68,16.4062336326895,4.19125437000063,0.508264249157183,0.255467187889458,GT9X: Hz, g
GT9X,1.9,Proposed,Waist,68,17.2604397846539,3.06643265287447,0.371859580048365,0.177656693058355,GT9X: Hz, g
GT9X,3.1,Proposed,Nondominant wrist,68,23.9309566381546,3.84458835834892,0.466224820249782,0.160653350239215,GT9X: Hz, g
GT9X,3.1,Proposed,Waist,68,28.7234865510618,2.39598660601079,0.290556054533754,0.0834155909921114,GT9X: Hz, g
GT9X,4.3,Proposed,Nondominant wrist,67,36.8503051107698,7.47757167142098,0.913530776231949,0.202917496855015,GT9X: Hz, g
GT9X,4.3,Proposed,Waist,67,48.4220932872943,4.52849312424232,0.553243488760032,0.0935212176263055,GT9X: Hz, g
GT9X,5,Proposed,Nondominant wrist,67,97.5499264359736,24.6151042389285,3.00721360764243,0.252333396223364,GT9X: Hz, g
GT9X,5,Proposed,Waist,67,63.8186900969249,12.3668201322428,1.51084754401048,0.193780538482703,GT9X: Hz, g
GT9X,6.2,Proposed,Nondominant wrist,68,136.947055466587,28.0326226297609,3.39945482545835,0.204696789823279,GT9X: Hz, g
GT9X,6.2,Proposed,Waist,68,77.2867904317479,15.0938113918919,1.83039349005652,0.195296134146252,GT9X: Hz, g
GT9X,7.5,Proposed,Nondominant wrist,68,151.342036667393,25.9499563451257,3.1468944409153,0.171465621294342,GT9X: Hz, g
GT9X,7.5,Proposed,Waist,68,85.6979731325847,17.5590643877554,2.12934932816873,0.204894745417018,GT9X: Hz, g
GT9X,8.6,Proposed,Nondominant wrist,65,174.70891419303,34.6328778388284,4.29567981079956,0.198231887587394,GT9X: Hz, g
GT9X,8.6,Proposed,Waist,65,92.9919611019879,20.6813602049197,2.56520702396103,0.222399441412335,GT9X: Hz, g
GT9X,10,Proposed,Nondominant wrist,52,203.645867949855,46.4797625832119,6.44558335635243,0.228238181560634,GT9X: Hz, g
GT9X,10,Proposed,Waist,52,103.896887562662,19.9557911297952,2.76737031388178,0.192073040857548,GT9X: Hz, g
GT9X,11.2,Proposed,Nondominant wrist,45,228.033908450692,58.7229409766818,8.75389919083789,0.25751846019593,GT9X: Hz, g
GT9X,11.2,Proposed,Waist,45,106.366185974547,22.9870087773185,3.42670094836456,0.216111996182876,GT9X: Hz, g
GT9X,12.4,Proposed,Nondominant wrist,38,227.376706003072,55.0622714980155,8.93227993309595,0.242163203372607,GT9X: Hz, g
GT9X,12.4,Proposed,Waist,38,102.119467822921,22.0189106090207,3.57193897074656,0.215619128051102,GT9X: Hz, g
GT3X+,1.9,Actigraph count algorithm,Nondominant wrist,75,2734.76856307295,1055.3454409614,121.860794885422,0.385899360995853,GT3X+: Hz, g
