DEVICE,GRANGE,SR,TYPE,HZ,NAME,N,mean,sd,se,cv
GT3XPlus,6,80,mims_narrowband_noextrap,4,GT3XPlus: 80Hz, 6g,24,85.054473543,0.0980125289393294,0.0200067236917606,0.00115235007468218
GT3XPlus,6,80,mims_narrowband_noextrap,5,GT3XPlus: 80Hz, 6g,30,85.0536313944,0.154806561290571,0.0282636818895506,0.00182010525303407
GT3XPlus,6,80,mims_narrowband_noextrap,6,GT3XPlus: 80Hz, 6g,30,45.1022698948,0.275737811117139,0.0503426063686519,0.00611361272415536
GT3XPlus,6,80,mims_narrowband_noextrap,7,GT3XPlus: 80Hz, 6g,30,27.2376683148,0.553232782678474,0.101006024874784,0.0203113121242418
GT3XPlus,6,80,mims_noextrap,1,GT3XPlus: 80Hz, 6g,30,24.9603155052,0.0561574470694446,0.0102529001772791,0.00224986927980719
GT3XPlus,6,80,mims_noextrap,2,GT3XPlus: 80Hz, 6g,24,97.943774861,0.111776327521666,0.0228162473125244,0.00114122952357408
GT3XPlus,6,80,mims_noextrap,3,GT3XPlus: 80Hz, 6g,30,98.054164622,0.124967977494787,0.0228159267465643,0.00127447903897341
GT3XPlus,6,80,mims_noextrap,4,GT3XPlus: 80Hz, 6g,24,217.5638998755,0.246242629347382,0.0502640662351976,0.00113181750045983
GT3XPlus,6,80,mims_noextrap,5,GT3XPlus: 80Hz, 6g,30,217.7688555492,0.321989671379134,0.0587870020993424,0.00147858457797877
GT3XPlus,6,80,mims_noextrap,6,GT3XPlus: 80Hz, 6g,30,364.8223145084,1.92617070569993,0.351669048372498,0.00527975024854347
GT3XPlus,6,80,mims_noextrap,7,GT3XPlus: 80Hz, 6g,30,401.1359957528,3.93874501006611,0.719113163424706,0.00981897673549436
GT9X,8,60,counts,1,GT9X: 60Hz, 8g,30,8936.68,59.8212592818722,10.9218177090156,0.00669390190561508
GT9X,8,60,counts,2,GT9X: 60Hz, 8g,24,21152.54,146.519859701532,29.9082411210777,0.00692682106742414
GT9X,8,60,counts,3,GT9X: 60Hz, 8g,30,21402.772,63.833704771285,11.6543866774526,0.00298249706959851
GT9X,8,60,counts,4,GT9X: 60Hz, 8g,24,21538.8,168.979782685745,34.4928537022053,0.00784536662607691
GT9X,8,60,counts,5,GT9X: 60Hz, 8g,30,21531.96,160.829345752485,29.3632868591446,0.00746933143812663
GT9X,8,60,counts,6,GT9X: 60Hz, 8g,30,17212.752,86.7957579767504,15.8466648465417,0.00504252649296001
GT9X,8,60,counts,7,GT9X: 60Hz, 8g,30,15839.652,487.345583837093,88.976723189367,0.0307674426077728
GT9X,8,60,enmo,1,GT9X: 60Hz, 8g,30,0.7688,0.00438178046004133,0.000800000000000001,0.00569950632159382
GT9X,8,60,enmo,2,GT9X: 60Hz, 8g,24,7.255,0.0183587439183859,0.00374746290987244,0.00253049537124547
GT9X,8,60,enmo,3,GT9X: 60Hz, 8g,30,7.2744,0.0173753690112141,0.00317229385080607,0.00238856386935199
GT9X,8,60,enmo,4,GT9X: 60Hz, 8g,24,23.364,0.0507885642725753,0.0103671722696964,0.00217379576581815
GT9X,8,60,enmo,5,GT9X: 60Hz, 8g,30,23.3696,0.0810047252772415,0.0147893717662847,0.00346624355047761
GT9X,8,60,enmo,6,GT9X: 60Hz, 8g,30,47.9104,0.168905931787795,0.0308378629788681,0.00352545442717646
GT9X,8,60,enmo,7,GT9X: 60Hz, 8g,30,75.7672,0.885014178729204,0.161580743133965,0.0116807032426855
GT9X,8,60,mims,1,GT9X: 60Hz, 8g,30,25.06128285,0.041649835533332,0.00760418481266205,0.00166191953471097
GT9X,8,60,mims,2,GT9X: 60Hz, 8g,24,98.477911647,0.133296306521002,0.0272089946311731,0.00135356552846907
GT9X,8,60,mims,3,GT9X: 60Hz, 8g,30,98.4734039248,0.136118931251001,0.0248518030498894,0.00138229131751096
GT9X,8,60,mims,4,GT9X: 60Hz, 8g,24,219.4199932825,0.435559718325235,0.0889082552005995,0.00198505027645525
GT9X,8,60,mims,5,GT9X: 60Hz, 8g,30,219.663443922,0.523598105196247,0.0955954977609825,0.00238363787732551
GT9X,8,60,mims,6,GT9X: 60Hz, 8g,30,370.882876038,3.05524628484066,0.557809102980362,0.00823776583453701
GT9X,8,60,mims,7,GT9X: 60Hz, 8g,30,453.0485920964,1.85697696966626,0.339036058351266,0.00409884723639342
GT9X,8,60,mims_narrowband,1,GT9X: 60Hz, 8g,30,25.0103795884,0.0458464892080035,0.00837038544054689,0.00183309849600473
GT9X,8,60,mims_narrowband,2,GT9X: 60Hz, 8g,24,93.9782576265,0.118109717866145,0.0241090452030114,0.00125677705513068
GT9X,8,60,mims_narrowband,3,GT9X: 60Hz, 8g,30,93.9317759496,0.127933898390298,0.0233574273393134,0.00136198743286769
GT9X,8,60,mims_narrowband,4,GT9X: 60Hz, 8g,24,85.7887988495,0.166386118343107,0.0339634241852457,0.00193948534744028
GT9X,8,60,mims_narrowband,5,GT9X: 60Hz, 8g,30,85.7830423528,0.246625450594482,0.0450274408484912,0.00287499071879714
GT9X,8,60,mims_narrowband,6,GT9X: 60Hz, 8g,30,45.9244245072,0.368824557339248,0.0673378432721879,0.00803111985173432
GT9X,8,60,mims_narrowband,7,GT9X: 60Hz, 8g,30,31.3610800732,0.40552115516039,0.0740376947422993,0.0129307139363141
GT9X,8,60,mims_narrowband_noextrap,1,GT9X: 60Hz, 8g,30,25.0103792844,0.0458427786771086,0.00836970799338974,0.00183295015864484
GT9X,8,60,mims_narrowband_noextrap,2,GT9X: 60Hz, 8g,24,93.9782575465,0.118111387011159,0.0241093859158108,0.00125679481717054
GT9X,8,60,mims_narrowband_noextrap,3,GT9X: 60Hz, 8g,30,93.9317765296,0.127933622434743,0.0233573769569526,0.00136198448662821
GT9X,8,60,mims_narrowband_noextrap,4,GT9X: 60Hz, 8g,24,85.7887983435,0.1663865244313,0.0339635070776509,0.00193949009246038
GT9X,8,60,mims_narrowband_noextrap,5,GT9X: 60Hz, 8g,30,85.7830411136,0.246628403077116,0.0450279798956043,0.00287502517835096
GT9X,8,60,mims_narrowband_noextrap,6,GT9X: 60Hz, 8g,30,45.9244251856,0.368824814613001,0.0673378902437339,0.0080311253352094
GT9X,8,60,mims_narrowband_noextrap,7,GT9X: 60Hz, 8g,30,31.3087728348,0.398176567801986,0.0726967626850444,0.0127177315413464
GT9X,8,60,mims_noextrap,1,GT9X: 60Hz, 8g,30,25.0612828464,0.0416499778082211,0.0076042107883841,0.00166192521202896
GT9X,8,60,mims_noextrap,2,GT9X: 60Hz, 8g,24,98.477912027,0.133296065274604,0.0272089453869584,0.00135356307349467
GT9X,8,60,mims_noextrap,3,GT9X: 60Hz, 8g,30,98.473404346,0.136119581744245,0.0248519218131639,0.00138229791737442
GT9X,8,60,mims_noextrap,4,GT9X: 60Hz, 8g,24,219.419993119,0.435559792150322,0.0889082702700821,0.00198505061439
GT9X,8,60,mims_noextrap,5,GT9X: 60Hz, 8g,30,219.66344346,0.523597449844833,0.0955953781107316,0.00238363489890469
GT9X,8,60,mims_noextrap,6,GT9X: 60Hz, 8g,30,370.8828774104,3.05524406958797,0.557808698532405,0.00823775983113719
GT9X,8,60,mims_noextrap,7,GT9X: 60Hz, 8g,30,452.6929125348,1.97530935459086,0.360640497186795,0.00436346428206784
GT9X,16,100,counts,1,GT9X: 100Hz, 16g,30,8917.016,96.1630394837777,17.556888641175,0.0107842174426712
GT9X,16,100,counts,2,GT9X: 100Hz, 16g,24,21388.3,223.034849606806,45.5267980329216,0.0104278904637959
GT9X,16,100,counts,3,GT9X: 100Hz, 16g,30,21203.44,154.772877602568,28.2575321176375,0.00729942299940801
GT9X,16,100,counts,4,GT9X: 100Hz, 16g,24,21762.495,154.724860681933,31.5830799328292,0.00710970229663155
GT9X,16,100,counts,5,GT9X: 100Hz, 16g,30,21806.296,198.841776114265,36.3033753840584,0.00911854888671902
GT9X,16,100,counts,6,GT9X: 100Hz, 16g,30,17699.212,177.226950281855,32.3570661557394,0.0100132678382436
GT9X,16,100,counts,7,GT9X: 100Hz, 16g,30,21675.756,1216.37758109493,222.07914653642,0.0561169622455118
GT9X,16,100,enmo,1,GT9X: 100Hz, 16g,30,0.524,0.00575355961782461,0.00105045146287778,0.0109800756065355
GT9X,16,100,enmo,2,GT9X: 100Hz, 16g,24,7.398,0.014590050212984,0.00297818152861631,0.00197216142376101
GT9X,16,100,enmo,3,GT9X: 100Hz, 16g,30,7.4012,0.0156566610259903,0.00285850213971561,0.00211542196211294
GT9X,16,100,enmo,4,GT9X: 100Hz, 16g,24,24.486,0.0348512366445179,0.00711397889033799,0.00142331277646483
GT9X,16,100,enmo,5,GT9X: 100Hz, 16g,30,24.5132,0.0511727298066271,0.00934281948140221,0.00208755812405672
GT9X,16,100,enmo,6,GT9X: 100Hz, 16g,30,50.9124,0.21166101721124,0.0386438378903617,0.00415735689559399
GT9X,16,100,enmo,7,GT9X: 100Hz, 16g,30,83.5248,0.737730648912479,0.134690572590763,0.00883247429401183
GT9X,16,100,mims,1,GT9X: 100Hz, 16g,30,25.2258288692,0.0687300265217363,0.0125483286346278,0.00272458942293284
GT9X,16,100,mims,2,GT9X: 100Hz, 16g,24,99.6794974445,0.153694680214992,0.0313727952255803,0.00154188859449825
GT9X,16,100,mims,3,GT9X: 100Hz, 16g,30,99.5880771568,0.163221145472938,0.0297999677457867,0.00163896271655038
GT9X,16,100,mims,4,GT9X: 100Hz, 16g,24,223.5002871245,0.252280748032684,0.0514965920506439,0.0011287714717438
GT9X,16,100,mims,5,GT9X: 100Hz, 16g,30,223.803965872,0.308308175758372,0.056289114175376,0.0013775813782259
GT9X,16,100,mims,6,GT9X: 100Hz, 16g,30,380.2477745152,3.08490979657797,0.563224894484809,0.00811289375857913
GT9X,16,100,mims,7,GT9X: 100Hz, 16g,30,473.431707218,3.43243199157841,0.626673476296625,0.00725011007764607
GT9X,16,100,mims_narrowband,1,GT9X: 100Hz, 16g,30,25.1696476192,0.0559701488026624,0.010218704348713,0.00222371602691676
GT9X,16,100,mims_narrowband,2,GT9X: 100Hz, 16g,24,95.1052028895,0.114899540608293,0.0234537705142093,0.00120813096568219
GT9X,16,100,mims_narrowband,3,GT9X: 100Hz, 16g,30,95.0130394436,0.129996122954836,0.023733936310193,0.00136819244722723
GT9X,16,100,mims_narrowband,4,GT9X: 100Hz, 16g,24,87.417760759,0.373768033066668,0.0762950802647538,0.00427565325194156
GT9X,16,100,mims_narrowband,5,GT9X: 100Hz, 16g,30,87.4594978448,0.372732451025546,0.0680513237802937,0.00426177213693786
GT9X,16,100,mims_narrowband,6,GT9X: 100Hz, 16g,30,47.1684870444,0.489755951337014,0.0894167940732284,0.0103831176708298
GT9X,16,100,mims_narrowband,7,GT9X: 100Hz, 16g,30,32.7120951092,0.581808836869836,0.106223274703151,0.0177857405625544
GT9X,16,100,mims_narrowband_noextrap,1,GT9X: 100Hz, 16g,30,25.169647776,0.0559696342173476,0.0102186103987181,0.00222369556838679
GT9X,16,100,mims_narrowband_noextrap,2,GT9X: 100Hz, 16g,24,95.105201102,0.114899608632188,0.0234537843995287,0.00120813170363793
GT9X,16,100,mims_narrowband_noextrap,3,GT9X: 100Hz, 16g,30,95.0130384068,0.12999578963332,0.0237338754542885,0.00136818895399114
GT9X,16,100,mims_narrowband_noextrap,4,GT9X: 100Hz, 16g,24,87.417761945,0.373767319177539,0.0762949345427457,0.00427564502752541
GT9X,16,100,mims_narrowband_noextrap,5,GT9X: 100Hz, 16g,30,87.4594982496,0.372735865868681,0.0680519472424988,0.00426181116206421
GT9X,16,100,mims_narrowband_noextrap,6,GT9X: 100Hz, 16g,30,47.1684862276,0.489754404117763,0.0894165115909333,0.0103830850486609
GT9X,16,100,mims_narrowband_noextrap,7,GT9X: 100Hz, 16g,30,32.7120950836,0.581808144813402,0.106223148351511,0.0177857194204931
GT9X,16,100,mims_noextrap,1,GT9X: 100Hz, 16g,30,25.2258288808,0.0687302478898822,0.0125483690507368,0.00272459819713573
GT9X,16,100,mims_noextrap,2,GT9X: 100Hz, 16g,24,99.6794974725,0.153694588144861,0.0313727764318434,0.00154188767040346
GT9X,16,100,mims_noextrap,3,GT9X: 100Hz, 16g,30,99.5880773804,0.163221179240229,0.0297999739108224,0.00163896305194012
GT9X,16,100,mims_noextrap,4,GT9X: 100Hz, 16g,24,223.500286485,0.252281060063739,0.0514966557437163,0.00112877287108386
GT9X,16,100,mims_noextrap,5,GT9X: 100Hz, 16g,30,223.8039666356,0.308309326352775,0.0562893242442122,0.00137758651460708
GT9X,16,100,mims_noextrap,6,GT9X: 100Hz, 16g,30,380.2477753196,3.08491036068602,0.563224997476377,0.00811289522494415
GT9X,16,100,mims_noextrap,7,GT9X: 100Hz, 16g,30,473.4317076924,3.43243213583015,0.62667350263327,0.00725011037507501
LGUrbaneR,2,100,counts,1,LGUrbaneR: 100Hz, 2g,30,8478.416,1680.77113653761,306.865421828415,0.198241173414658
LGUrbaneR,2,100,counts,2,LGUrbaneR: 100Hz, 2g,24,20055.75,4537.16355735511,926.144632922582,0.226227568520505
LGUrbaneR,2,100,counts,3,LGUrbaneR: 100Hz, 2g,30,18925.768,6475.57795667979,1182.27337325224,0.342156680599688
LGUrbaneR,2,100,counts,4,LGUrbaneR: 100Hz, 2g,24,16802.34,3493.49906918053,713.107511365024,0.207917413240092
LGUrbaneR,2,100,counts,5,LGUrbaneR: 100Hz, 2g,30,15033.256,6086.21067388013,1111.18495860429,0.404849799263721
LGUrbaneR,2,100,counts,6,LGUrbaneR: 100Hz, 2g,30,8959.124,3535.09920503591,645.417859205583,0.394580899319611
LGUrbaneR,2,100,counts,7,LGUrbaneR: 100Hz, 2g,30,12637.14,5069.98593667097,925.648554582882,0.401197259559597
