DEVICE,GRANGE,SR,TYPE,HZ,NAME,N,mean,sd,se,cv
LGUrbaneR,2,100,mims_narrowband,2,LGUrbaneR: 100Hz, 2g,24,91.9127880135,0.190913662571973,0.0389700881856014,0.00207711752301467
LGUrbaneR,2,100,mims_narrowband,3,LGUrbaneR: 100Hz, 2g,30,91.9142521412,0.106309747939042,0.0194094156763006,0.00115661875566074
LGUrbaneR,2,100,mims_narrowband,4,LGUrbaneR: 100Hz, 2g,24,98.67390116,1.21473901285712,0.24795756267934,0.0123106414013916
LGUrbaneR,2,100,mims_narrowband,5,LGUrbaneR: 100Hz, 2g,30,99.5706250076,1.40917735509435,0.257279408303547,0.0141525410228849
LGUrbaneR,2,100,mims_narrowband,6,LGUrbaneR: 100Hz, 2g,30,68.7173162816,5.13971762224723,0.938379760303874,0.0747950866006602
LGUrbaneR,2,100,mims_narrowband,7,LGUrbaneR: 100Hz, 2g,30,67.9167353616,6.30069133654913,1.15034359096844,0.0927708215508769
LGUrbaneR,2,100,mims_narrowband_noextrap,1,LGUrbaneR: 100Hz, 2g,30,24.4623728912,0.0791030994131889,0.0144421839723924,0.00323366419786877
LGUrbaneR,2,100,mims_narrowband_noextrap,2,LGUrbaneR: 100Hz, 2g,24,91.912788756,0.190913009154679,0.0389699548073549,0.00207711039713412
LGUrbaneR,2,100,mims_narrowband_noextrap,3,LGUrbaneR: 100Hz, 2g,30,91.9142526484,0.106309047934705,0.0194092878735787,0.00115661113343727
LGUrbaneR,2,100,mims_narrowband_noextrap,4,LGUrbaneR: 100Hz, 2g,24,69.1990239135,0.244729921037623,0.0499552859444828,0.00353660943749061
LGUrbaneR,2,100,mims_narrowband_noextrap,5,LGUrbaneR: 100Hz, 2g,30,69.2005469124,0.231042195962673,0.0421823408214283,0.00333873367005532
LGUrbaneR,2,100,mims_narrowband_noextrap,6,LGUrbaneR: 100Hz, 2g,30,25.921144886,0.696849737891761,0.12722677354496,0.0268834475080662
LGUrbaneR,2,100,mims_narrowband_noextrap,7,LGUrbaneR: 100Hz, 2g,30,16.6771612668,1.62871353315669,0.297361047274619,0.0976613170011762
LGUrbaneR,2,100,mims_noextrap,1,LGUrbaneR: 100Hz, 2g,30,24.5928567116,0.0879808745846402,0.0160630365463468,0.00357749714140128
LGUrbaneR,2,100,mims_noextrap,2,LGUrbaneR: 100Hz, 2g,24,96.833923774,0.186830705224874,0.0381366580071064,0.00192939310877164
LGUrbaneR,2,100,mims_noextrap,3,LGUrbaneR: 100Hz, 2g,30,96.9177166704,0.157850928701983,0.028819504791072,0.00162871076749369
LGUrbaneR,2,100,mims_noextrap,4,LGUrbaneR: 100Hz, 2g,24,176.6380014925,0.272377606098524,0.055598846025181,0.00154201023447432
LGUrbaneR,2,100,mims_noextrap,5,LGUrbaneR: 100Hz, 2g,30,176.6132534148,0.252697866974885,0.0461361073251948,0.00143079787099211
LGUrbaneR,2,100,mims_noextrap,6,LGUrbaneR: 100Hz, 2g,30,180.7662269764,1.13151179427006,0.206584844601619,0.00625953095993859
LGUrbaneR,2,100,mims_noextrap,7,LGUrbaneR: 100Hz, 2g,30,152.3592226024,2.72454386934794,0.497431378718091,0.0178823691983384
MotoGPlay,2,50,counts,1,MotoGPlay: 50Hz, 2g,30,8927.5,44.0372666632752,8.04006810744869,0.0049327657981826
MotoGPlay,2,50,counts,2,MotoGPlay: 50Hz, 2g,24,21320.355,88.9985522598422,18.1667534069197,0.0041743466400931
MotoGPlay,2,50,counts,3,MotoGPlay: 50Hz, 2g,30,21191.092,124.596935657232,22.7481840851619,0.00587968452296993
MotoGPlay,2,50,counts,4,MotoGPlay: 50Hz, 2g,24,17420.875,146.1476605593,29.8322662893137,0.00838922617602735
MotoGPlay,2,50,counts,5,MotoGPlay: 50Hz, 2g,30,17499.132,74.5074775418895,13.6031420508342,0.00425778133120486
MotoGPlay,2,50,counts,6,MotoGPlay: 50Hz, 2g,30,9055.876,620.148760293684,113.223155007238,0.0684802619088075
MotoGPlay,2,50,counts,7,MotoGPlay: 50Hz, 2g,30,10344.056,1135.12131697863,207.24385027139,0.10973657886023
MotoGPlay,2,50,enmo,1,MotoGPlay: 50Hz, 2g,30,0.5672,0.0283505154122096,0.00517607226938835,0.0499832782302707
MotoGPlay,2,50,enmo,2,MotoGPlay: 50Hz, 2g,24,7.8645,0.14704657647213,0.0300157567316554,0.0186975111541904
MotoGPlay,2,50,enmo,3,MotoGPlay: 50Hz, 2g,30,7.7836,0.0973091766590847,0.017766143702812,0.0125018213499004
MotoGPlay,2,50,enmo,4,MotoGPlay: 50Hz, 2g,24,19.2835,0.192796581243367,0.039354437349941,0.00999800768757577
MotoGPlay,2,50,enmo,5,MotoGPlay: 50Hz, 2g,30,19.4868,0.0833978416986904,0.0152262930485392,0.00427970942887957
MotoGPlay,2,50,enmo,6,MotoGPlay: 50Hz, 2g,30,20.7464,0.472784386229145,0.0863182243913125,0.0227887434074897
MotoGPlay,2,50,enmo,7,MotoGPlay: 50Hz, 2g,30,21.7196,0.251822269016094,0.0459762457407496,0.0115942406405318
MotoGPlay,2,50,mims,1,MotoGPlay: 50Hz, 2g,30,25.541367638,0.163833113926578,0.0299116973879668,0.00641442213465615
MotoGPlay,2,50,mims,2,MotoGPlay: 50Hz, 2g,24,99.2040805485,0.69164465684082,0.141181374381865,0.00697193757571979
MotoGPlay,2,50,mims,3,MotoGPlay: 50Hz, 2g,30,98.996104332,0.458565770240032,0.0837222721533989,0.00463215975350055
MotoGPlay,2,50,mims,4,MotoGPlay: 50Hz, 2g,24,256.8414058205,9.84569614161606,2.0097443091207,0.0383337574024064
MotoGPlay,2,50,mims,5,MotoGPlay: 50Hz, 2g,30,262.44876782,2.41487333971986,0.440893533894135,0.0092013133068931
MotoGPlay,2,50,mims,6,MotoGPlay: 50Hz, 2g,30,309.322345572,21.1032578682462,3.85291012376228,0.0682241621736768
MotoGPlay,2,50,mims,7,MotoGPlay: 50Hz, 2g,30,274.2789425072,11.6451522088149,2.12610418344968,0.0424573323141978
MotoGPlay,2,50,mims_narrowband,1,MotoGPlay: 50Hz, 2g,30,25.1997455764,0.152163072710911,0.0277810491143549,0.00603827813457824
MotoGPlay,2,50,mims_narrowband,2,MotoGPlay: 50Hz, 2g,24,94.2786429475,0.734850331300584,0.150000695750133,0.00779445172656752
MotoGPlay,2,50,mims_narrowband,3,MotoGPlay: 50Hz, 2g,30,93.8547776128,0.502127897334284,0.0916755920408751,0.00535005153819471
MotoGPlay,2,50,mims_narrowband,4,MotoGPlay: 50Hz, 2g,24,103.111995489,3.73360485712853,0.762118900095148,0.0362092193000651
MotoGPlay,2,50,mims_narrowband,5,MotoGPlay: 50Hz, 2g,30,105.2236234168,1.19860628773404,0.21883456711982,0.0113910379514898
MotoGPlay,2,50,mims_narrowband,6,MotoGPlay: 50Hz, 2g,30,63.0682332168,7.70110947619503,1.40602379264294,0.12210758227081
MotoGPlay,2,50,mims_narrowband,7,MotoGPlay: 50Hz, 2g,30,63.740033442,5.34025281535438,0.974992309916688,0.0837817699015443
MotoGPlay,2,50,mims_narrowband_noextrap,1,MotoGPlay: 50Hz, 2g,30,25.1997451236,0.152164549299654,0.0277813187013425,0.00603833683846069
MotoGPlay,2,50,mims_narrowband_noextrap,2,MotoGPlay: 50Hz, 2g,24,94.2786437405,0.734849495100257,0.150000525061456,0.00779444279155007
MotoGPlay,2,50,mims_narrowband_noextrap,3,MotoGPlay: 50Hz, 2g,30,93.8547778644,0.502129341890233,0.0916758557795014,0.00535006691524753
MotoGPlay,2,50,mims_narrowband_noextrap,4,MotoGPlay: 50Hz, 2g,24,72.1285583755,0.706854216345146,0.14428601271504,0.00979992158813538
MotoGPlay,2,50,mims_narrowband_noextrap,5,MotoGPlay: 50Hz, 2g,30,73.1654400644,0.581945656451034,0.106248254426794,0.00795383251899814
MotoGPlay,2,50,mims_narrowband_noextrap,6,MotoGPlay: 50Hz, 2g,30,31.3840422188,2.03419308074499,0.37139114554832,0.0648161593259153
MotoGPlay,2,50,mims_narrowband_noextrap,7,MotoGPlay: 50Hz, 2g,30,24.7314242384,2.35627955058931,0.430195820548633,0.0952747212564797
MotoGPlay,2,50,mims_noextrap,1,MotoGPlay: 50Hz, 2g,30,25.5413676272,0.163832687354883,0.0299116195069869,0.00641440543616039
MotoGPlay,2,50,mims_noextrap,2,MotoGPlay: 50Hz, 2g,24,99.2040805685,0.691644128178132,0.141181266469046,0.00697193224527245
MotoGPlay,2,50,mims_noextrap,3,MotoGPlay: 50Hz, 2g,30,98.9961044352,0.45856607260226,0.0837223273569366,0.00463216280295579
MotoGPlay,2,50,mims_noextrap,4,MotoGPlay: 50Hz, 2g,24,181.376637768,1.36129387062306,0.2778729477504,0.00750534295582378
MotoGPlay,2,50,mims_noextrap,5,MotoGPlay: 50Hz, 2g,30,183.477675764,0.363653725094503,0.0663937827850138,0.00198200529617704
MotoGPlay,2,50,mims_noextrap,6,MotoGPlay: 50Hz, 2g,30,184.684391186,2.8388789820321,0.518306018828761,0.0153715155016701
MotoGPlay,2,50,mims_noextrap,7,MotoGPlay: 50Hz, 2g,30,165.0033691508,2.91196953560437,0.531650467139452,0.0176479398608101
