LABEL_NAME,LOCATION,DEVICE,ALGORITHM,percentile25,percentile75,min,max,median
Walk 2 mph,non dominant wrist,8g Device,ENMO,0.091143,0.226926,0.010356,0.4306005,0.117372
Walk 2 mph,non dominant wrist,2g Device,ENMO,0.091104,0.22677,0.010404,0.430269,0.11739
Laundry,dominant waist,8g Device,MIMS-unit,3.91926933913975,7.65310229634444,0.890040542640609,13.2538517321515,5.62881385912669
Laundry,dominant waist,2g Device,MIMS-unit,3.91925745316644,7.6531200168403,0.890068982881771,13.2539138623511,5.62883580421454
Laundry,dominant waist,8g Device,ACTIGRAPH_COUNT,84,910.433115130246,0,2150.08278782562,404.098369288855
Laundry,dominant waist,8g Device,ENMO,0.073941,0.166308,0.006636,0.3048585,0.115152
Laundry,dominant waist,2g Device,ENMO,0.073791,0.166395,0.00666,0.305301,0.114906
Laundry,non dominant wrist,8g Device,MIMS-unit,41.6792433942787,55.2927117060386,21.2590409266388,75.7129141736785,48.2539166105088
Laundry,non dominant wrist,2g Device,MIMS-unit,41.6697263687178,55.1567660358607,21.4391668680033,75.3873255365751,48.2544782603244
Laundry,non dominant wrist,8g Device,ACTIGRAPH_COUNT,9720.48817467655,13315.2220177472,4328.38741007066,18707.3227823531,11488.2909433886
Laundry,non dominant wrist,8g Device,ENMO,1.244316,2.01969,0.345912,3.182751,1.598592
Laundry,non dominant wrist,2g Device,ENMO,1.24293,1.976649,0.346152,3.0772275,1.57674
Frisbee,dominant waist,8g Device,MIMS-unit,19.3495072334728,38.2700961093457,2.69005847867851,66.6509794231551,26.8405019381063
Frisbee,dominant waist,2g Device,MIMS-unit,19.3510956252165,37.3804639942487,2.68999867070163,64.424516547797,26.7272745466419
Frisbee,dominant waist,8g Device,ACTIGRAPH_COUNT,3254.89712396764,6598.54618694311,0,11614.0197814063,4770.13852185399
Frisbee,dominant waist,8g Device,ENMO,0.738885,2.157,0.007224,4.2841725,1.288914
Frisbee,dominant waist,2g Device,ENMO,0.736152,2.000316,0.007176,3.896562,1.2576
Frisbee,non dominant wrist,8g Device,MIMS-unit,34.2392310677166,64.7590477459862,3.90967265898508,110.538772763391,47.8359557183685
Frisbee,non dominant wrist,2g Device,MIMS-unit,34.2226925149238,65.3369031301628,3.90448386848761,112.008219053021,48.0687014913377
Frisbee,non dominant wrist,8g Device,ACTIGRAPH_COUNT,7190.84988819053,15058.5979231841,253.140277316748,26860.2199756745,11027.0761078729
Frisbee,non dominant wrist,8g Device,ENMO,1.47096,4.190901,0.075036,8.2708125,2.416656
Frisbee,non dominant wrist,2g Device,ENMO,1.459671,3.630513,0.075156,6.886776,2.324286
