k,spar,average_extrapolation_rate,sd_extrapolation_rate,min_extrapolation_rate,max_extrapolation_rate,weighted_extrapolation_rate
0.05,0.6,0.617367144597861,0.281862961870909,0.0661623643352009,0.997898526187527,67.1843059653061
0.05,0.7,0.616020978844574,0.281503659621635,0.0667354168687021,0.99857317823215,66.8608556087698
0.05,0.5,0.615659451602536,0.283055099667219,0.0640369988856093,0.999103513747846,67.539105639347
0.05,0.8,0.615642487311048,0.281425692281011,0.0668538513871647,0.999688604781812,66.7795767787114
0.05,0.9,0.615562060548626,0.281405731626835,0.0668766864958901,0.998846066954442,66.7630840110808
0.05,1,0.615546770778975,0.281402128998713,0.0668810274748166,0.998685881238297,66.7599485162039
0.75,0.4,0.612927582949995,0.281158122519177,0.067950439515345,0.998956514600346,67.3222782679573
0.85,0.4,0.61247125916986,0.281583274285177,0.0680827173688248,0.999940303185931,67.3415595029524
0.95,0.4,0.608927828224391,0.282213951523001,0.0671057768227841,0.991050117137964,67.0103034040217
0.65,0.4,0.608124898628311,0.278716330092515,0.0664816925360053,0.997737623688335,66.5918450268848
0.45,0.5,0.607952587937314,0.281307394087253,0.0672317576139878,0.998490333576529,66.9913733863156
0.35,0.5,0.607198660534832,0.280964475230079,0.0670333851944601,0.999485389336963,67.0530546229736
0.15,0.5,0.606582531039609,0.282350385936535,0.067644011923143,0.999610574618688,66.9906002391931
0.55,0.5,0.606188789360493,0.282260934795216,0.0657758264601797,0.999850679671949,66.7824905719109
0.25,0.5,0.605869297706375,0.280270054341943,0.0663877718895392,0.99567492091628,66.9506685750698
0.55,0.4,0.596273672105609,0.275533068071376,0.0634353391557114,0.988501526098934,65.086032635785
0.65,0.5,0.595521079964673,0.286133522777539,0.0593198828310135,0.999350042943951,65.7326554981763
0.95,0.3,0.592996715635978,0.274954638441143,0.0627537327629863,0.998920985108746,64.6703653691315
0.45,0.4,0.592302244360518,0.274757233284625,0.0626156057718934,0.999086844920822,64.6202124185634
0.35,0.4,0.591909739981676,0.274542012742788,0.0627378263336305,0.999949487224785,64.6047070798467
0.25,0.4,0.590687686695715,0.273984718007005,0.0622643187796801,0.999357712832451,64.5064185527003
0.75,0.5,0.582808557179787,0.291841538078507,0.0488366419827345,0.998596088871107,64.529933549825
0.85,0.3,0.581896233511532,0.271858514961552,0.0606094091190442,0.996387366984577,63.4694784072194
0.15,0.4,0.579073885476696,0.272594404668383,0.0603529148569671,0.99812494204977,63.3881297437616
0.05,0.4,0.577594272257431,0.272103421406795,0.0592425797444849,0.998290253475227,63.3650908818509
0.15,0.6,0.570985011449503,0.298312655568723,0.0385450702535155,0.999362162626608,63.593379331574
0.85,0.5,0.570399376527365,0.297795647972255,0.0366366876929123,0.998959044102893,63.4192774123683
0.75,0.3,0.569210295333373,0.268097777197317,0.0586233379815887,0.995013597187483,62.1691295131522
0.25,0.6,0.55765143781659,0.303796825858279,0.0227186518897306,0.996475414995773,62.7601548383484
0.35,0.6,0.556678609905368,0.304330334559609,0.0225099054635031,0.99799983938086,62.6582339063642
0.45,0.6,0.556147971785965,0.303717943461664,0.0233501301862614,0.998140777720437,62.4036417699575
0.95,0.5,0.554618801455245,0.30554867358356,0.0214216613909705,0.998393882789884,62.0698910479839
0.65,0.3,0.551392005690951,0.261535820701594,0.0561496929437964,0.999416030136827,60.4397252534974
0.55,0.6,0.548100836547852,0.307722162900652,0.0143625272614653,0.997769067804348,61.6407129824599
0.55,0.3,0.529765401978046,0.253944213789639,0.0531742688475133,0.998208177453381,58.3730629272575
0.25,0.3,0.528040173682483,0.253951045520973,0.0525146152244265,0.996560288158682,58.2569004637526
0.35,0.3,0.526574680221779,0.252727361281632,0.0525521130147908,0.996120424326842,58.1173346965229
0.45,0.3,0.526170275789884,0.25272717027278,0.0525272376742808,0.998242103485142,58.02709018266
0.95,0.2,0.520697827986556,0.250261969123063,0.0522451470521914,0.999957480633567,57.5054474129823
0.15,0.3,0.517052079845504,0.25024459860672,0.0508675904848607,0.995590110126391,57.0821108246453
0.85,0.2,0.511084098362717,0.247379441501999,0.0507631443215367,0.999398799142021,56.5599152969653
0.05,0.3,0.509569962855912,0.246024807396828,0.0514681857938498,0.995494297797099,56.4353993069282
