HEADER_TIME_STAMP,Y_ACCELERATION_METERS_PER_SECOND_SQUARED,group
2015-12-15 13:51:49,2.512,gt
2015-12-15 13:51:49,1.805,gt
2015-12-15 13:51:49,1.184,gt
2015-12-15 13:51:49,0.68,gt
2015-12-15 13:51:49,0.258,gt
2015-12-15 13:51:49,-0.074,gt
2015-12-15 13:51:49,-0.328,gt
2015-12-15 13:51:49,-0.465,gt
2015-12-15 13:51:49,-0.465,gt
2015-12-15 13:51:49,-0.383,gt
2015-12-15 13:51:49,-0.301,gt
2015-12-15 13:51:49,-0.293,gt
2015-12-15 13:51:49,-0.34,gt
2015-12-15 13:51:49,-0.438,gt
2015-12-15 13:51:49,-0.543,gt
2015-12-15 13:51:49,-0.605,gt
2015-12-15 13:51:49,-0.598,gt
2015-12-15 13:51:49,-0.523,gt
2015-12-15 13:51:49,-0.371,gt
2015-12-15 13:51:49,-0.113,gt
2015-12-15 13:51:49,0.223,gt
2015-12-15 13:51:50,0.543,gt
2015-12-15 13:51:50,0.852,gt
2015-12-15 13:51:50,1.23,gt
2015-12-15 13:51:50,1.742,gt
2015-12-15 13:51:50,2.555,gt
2015-12-15 13:51:50,3.512,gt
2015-12-15 13:51:50,4.223,gt
2015-12-15 13:51:50,4.336,gt
2015-12-15 13:51:50,3.887,gt
2015-12-15 13:51:50,3.188,gt
2015-12-15 13:51:50,2.574,gt
2015-12-15 13:51:50,2.137,gt
2015-12-15 13:51:50,1.875,gt
2015-12-15 13:51:50,1.723,gt
2015-12-15 13:51:50,1.523,gt
2015-12-15 13:51:50,1.246,gt
2015-12-15 13:51:50,0.961,gt
2015-12-15 13:51:50,0.734,gt
2015-12-15 13:51:50,0.594,gt
2015-12-15 13:51:50,0.52,gt
2015-12-15 13:51:50,0.449,gt
2015-12-15 13:51:50,0.34,gt
2015-12-15 13:51:50,0.215,gt
2015-12-15 13:51:50,0.117,gt
2015-12-15 13:51:50,0.086,gt
2015-12-15 13:51:50,0.109,gt
2015-12-15 13:51:50,0.164,gt
2015-12-15 13:51:50,0.242,gt
2015-12-15 13:51:50,0.367,gt
2015-12-15 13:51:50,0.625,gt
2015-12-15 13:51:50,1.109,gt
2015-12-15 13:51:50,2.234,gt
2015-12-15 13:51:50,3.855,gt
2015-12-15 13:51:50,4.652,gt
2015-12-15 13:51:50,4.406,gt
2015-12-15 13:51:50,3.953,gt
2015-12-15 13:51:50,4.004,gt
2015-12-15 13:51:50,4.336,gt
2015-12-15 13:51:50,4.238,gt
2015-12-15 13:51:50,3.477,gt
2015-12-15 13:51:50,2.559,gt
2015-12-15 13:51:50,1.789,gt
2015-12-15 13:51:50,1.191,gt
2015-12-15 13:51:50,0.742,gt
2015-12-15 13:51:50,0.406,gt
2015-12-15 13:51:50,0.129,gt
2015-12-15 13:51:50,-0.113,gt
2015-12-15 13:51:50,-0.289,gt
2015-12-15 13:51:50,-0.34,gt
2015-12-15 13:51:50,-0.301,gt
2015-12-15 13:51:50,-0.242,gt
2015-12-15 13:51:50,-0.234,gt
2015-12-15 13:51:50,-0.293,gt
2015-12-15 13:51:50,-0.367,gt
2015-12-15 13:51:50,-0.422,gt
2015-12-15 13:51:50,-0.457,gt
2015-12-15 13:51:50,-0.457,gt
2015-12-15 13:51:50,-0.371,gt
2015-12-15 13:51:50,-0.168,gt
2015-12-15 13:51:50,0.203,gt
2015-12-15 13:51:50,0.727,gt
2015-12-15 13:51:50,1.277,gt
2015-12-15 13:51:50,1.934,gt
2015-12-15 13:51:50,2.578,gt
2015-12-15 13:51:50,2.836,gt
2015-12-15 13:51:50,2.934,gt
2015-12-15 13:51:50,3.098,gt
2015-12-15 13:51:50,3.125,gt
2015-12-15 13:51:50,2.871,gt
2015-12-15 13:51:50,2.566,gt
2015-12-15 13:51:50,2.438,gt
2015-12-15 13:51:50,2.422,gt
2015-12-15 13:51:50,2.344,gt
2015-12-15 13:51:50,2.145,gt
2015-12-15 13:51:50,1.84,gt
2015-12-15 13:51:50,1.523,gt
2015-12-15 13:51:50,1.262,gt
2015-12-15 13:51:50,1.016,gt
2015-12-15 13:51:50,0.824,gt
2015-12-15 13:51:50,0.695,gt
2015-12-15 13:51:51,0.613,gt
2015-12-15 13:51:51,0.586,gt
2015-12-15 13:51:51,0.555,gt
2015-12-15 13:51:51,0.469,gt
2015-12-15 13:51:51,0.352,gt
2015-12-15 13:51:51,0.242,gt
2015-12-15 13:51:51,0.184,gt
2015-12-15 13:51:51,0.215,gt
2015-12-15 13:51:51,0.293,gt
2015-12-15 13:51:51,0.418,gt
2015-12-15 13:51:51,0.582,gt
2015-12-15 13:51:51,0.832,gt
2015-12-15 13:51:51,1.328,gt
2015-12-15 13:51:51,2.281,gt
2015-12-15 13:51:51,3.453,gt
2015-12-15 13:51:51,4.09,gt
2015-12-15 13:51:51,4.16,gt
2015-12-15 13:51:51,4.109,gt
2015-12-15 13:51:51,4.309,gt
2015-12-15 13:51:51,4.715,gt
2015-12-15 13:51:51,4.766,gt
2015-12-15 13:51:51,4.25,gt
2015-12-15 13:51:51,3.344,gt
2015-12-15 13:51:51,2.383,gt
2015-12-15 13:51:51,1.535,gt
2015-12-15 13:51:51,0.887,gt
2015-12-15 13:51:51,0.43,gt
2015-12-15 13:51:51,0.086,gt
2015-12-15 13:51:51,-0.191,gt
2015-12-15 13:51:51,-0.402,gt
2015-12-15 13:51:51,-0.5,gt
2015-12-15 13:51:51,-0.492,gt
2015-12-15 13:51:51,-0.438,gt
2015-12-15 13:51:51,-0.406,gt
2015-12-15 13:51:51,-0.422,gt
2015-12-15 13:51:51,-0.449,gt
2015-12-15 13:51:51,-0.438,gt
2015-12-15 13:51:51,-0.395,gt
2015-12-15 13:51:51,-0.297,gt
2015-12-15 13:51:51,-0.156,gt
2015-12-15 13:51:51,0.031,gt
2015-12-15 13:51:51,0.277,gt
2015-12-15 13:51:51,0.512,gt
2015-12-15 13:51:51,0.773,gt
2015-12-15 13:51:51,1.184,gt
2015-12-15 13:51:51,1.793,gt
2015-12-15 13:51:51,2.48,gt
2015-12-15 13:51:51,3.082,gt
2015-12-15 13:51:51,3.578,gt
2015-12-15 13:51:51,3.957,gt
2015-12-15 13:51:51,3.969,gt
2015-12-15 13:51:51,3.719,gt
2015-12-15 13:51:51,3.391,gt
2015-12-15 13:51:51,3.035,gt
2015-12-15 13:51:51,2.656,gt
2015-12-15 13:51:51,2.281,gt
2015-12-15 13:51:51,1.938,gt
2015-12-15 13:51:51,1.586,gt
2015-12-15 13:51:51,1.273,gt
2015-12-15 13:51:51,1.027,gt
2015-12-15 13:51:51,0.859,gt
2015-12-15 13:51:51,0.742,gt
2015-12-15 13:51:51,0.648,gt
2015-12-15 13:51:51,0.547,gt
2015-12-15 13:51:51,0.418,gt
2015-12-15 13:51:51,0.285,gt
2015-12-15 13:51:51,0.172,gt
2015-12-15 13:51:51,0.086,gt
2015-12-15 13:51:51,0.031,gt
2015-12-15 13:51:51,0.016,gt
2015-12-15 13:51:51,0.035,gt
2015-12-15 13:51:51,0.082,gt
2015-12-15 13:51:51,0.152,gt
2015-12-15 13:51:51,0.266,gt
2015-12-15 13:51:51,0.477,gt
2015-12-15 13:51:51,1.016,gt
2015-12-15 13:51:51,2.207,gt
2015-12-15 13:51:51,3.699,gt
2015-12-15 13:51:51,4.5,gt
2015-12-15 13:51:51,4.75,gt
2015-12-15 13:51:52,4.906,gt
2015-12-15 13:51:52,4.809,gt
2015-12-15 13:51:52,4.379,gt
2015-12-15 13:51:52,3.828,gt
2015-12-15 13:51:52,3.219,gt
2015-12-15 13:51:52,2.609,gt
2015-12-15 13:51:52,2.02,gt
2015-12-15 13:51:52,1.457,gt
2015-12-15 13:51:52,0.918,gt
2015-12-15 13:51:52,0.414,gt
2015-12-15 13:51:52,-0.027,gt
2015-12-15 13:51:52,-0.324,gt
2015-12-15 13:51:52,-0.457,gt
2015-12-15 13:51:52,-0.469,gt
2015-12-15 13:51:52,-0.426,gt
2015-12-15 13:51:52,-0.363,gt
2015-12-15 13:51:52,-0.344,gt
2015-12-15 13:51:52,-0.359,gt
2015-12-15 13:51:52,-0.395,gt
2015-12-15 13:51:52,-0.414,gt
2015-12-15 13:51:52,-0.43,gt
2015-12-15 13:51:52,-0.457,gt
2015-12-15 13:51:52,-0.457,gt
2015-12-15 13:51:52,-0.406,gt
2015-12-15 13:51:52,-0.32,gt
2015-12-15 13:51:52,-0.188,gt
2015-12-15 13:51:52,0.055,gt
2015-12-15 13:51:52,0.652,gt
2015-12-15 13:51:52,1.773,gt
2015-12-15 13:51:52,3.035,gt
2015-12-15 13:51:52,3.598,gt
2015-12-15 13:51:52,3.82,gt
2015-12-15 13:51:52,4.09,gt
2015-12-15 13:51:52,4.277,gt
2015-12-15 13:51:52,4.117,gt
2015-12-15 13:51:52,3.656,gt
2015-12-15 13:51:52,3.082,gt
2015-12-15 13:51:52,2.504,gt
2015-12-15 13:51:52,1.961,gt
2015-12-15 13:51:52,1.484,gt
2015-12-15 13:51:52,1.102,gt
2015-12-15 13:51:52,0.844,gt
2015-12-15 13:51:52,0.676,gt
2015-12-15 13:51:52,0.578,gt
2015-12-15 13:51:52,0.52,gt
2015-12-15 13:51:52,0.457,gt
2015-12-15 13:51:52,0.367,gt
2015-12-15 13:51:52,0.254,gt
2015-12-15 13:51:52,0.16,gt
2015-12-15 13:51:52,0.105,gt
2015-12-15 13:51:52,0.07,gt
2015-12-15 13:51:52,0.051,gt
2015-12-15 13:51:52,0.051,gt
2015-12-15 13:51:52,0.094,gt
2015-12-15 13:51:52,0.219,gt
2015-12-15 13:51:52,0.465,gt
2015-12-15 13:51:52,0.902,gt
2015-12-15 13:51:52,1.691,gt
2015-12-15 13:51:52,2.957,gt
2015-12-15 13:51:52,4.219,gt
2015-12-15 13:51:52,4.887,gt
2015-12-15 13:51:52,4.938,gt
2015-12-15 13:51:52,4.816,gt
2015-12-15 13:51:52,4.605,gt
2015-12-15 13:51:52,4.207,gt
2015-12-15 13:51:52,3.66,gt
2015-12-15 13:51:52,2.945,gt
2015-12-15 13:51:52,2.211,gt
2015-12-15 13:51:52,1.535,gt
2015-12-15 13:51:52,0.945,gt
2015-12-15 13:51:52,0.422,gt
2015-12-15 13:51:52,0.008,gt
2015-12-15 13:51:52,-0.258,gt
2015-12-15 13:51:52,-0.375,gt
2015-12-15 13:51:52,-0.375,gt
2015-12-15 13:51:52,-0.328,gt
2015-12-15 13:51:52,-0.301,gt
2015-12-15 13:51:52,-0.332,gt
2015-12-15 13:51:52,-0.426,gt
2015-12-15 13:51:52,-0.527,gt
2015-12-15 13:51:53,-0.59,gt
2015-12-15 13:51:53,-0.586,gt
2015-12-15 13:51:53,-0.551,gt
2015-12-15 13:51:53,-0.484,gt
2015-12-15 13:51:53,-0.406,gt
2015-12-15 13:51:53,-0.316,gt
2015-12-15 13:51:53,-0.246,gt
2015-12-15 13:51:53,-0.121,gt
2015-12-15 13:51:53,0.172,gt
2015-12-15 13:51:53,1.031,gt
2015-12-15 13:51:53,2.52,gt
2015-12-15 13:51:53,3.902,gt
2015-12-15 13:51:53,4.738,gt
2015-12-15 13:51:53,5.098,gt
2015-12-15 13:51:53,4.969,gt
2015-12-15 13:51:53,4.391,gt
2015-12-15 13:51:53,3.602,gt
2015-12-15 13:51:53,2.891,gt
2015-12-15 13:51:53,2.367,gt
2015-12-15 13:51:53,1.914,gt
2015-12-15 13:51:53,1.492,gt
2015-12-15 13:51:53,1.094,gt
2015-12-15 13:51:53,0.766,gt
2015-12-15 13:51:53,0.535,gt
2015-12-15 13:51:53,0.434,gt
2015-12-15 13:51:53,0.434,gt
2015-12-15 13:51:53,0.43,gt
2015-12-15 13:51:53,0.355,gt
2015-12-15 13:51:53,0.219,gt
2015-12-15 13:51:53,0.086,gt
2015-12-15 13:51:53,-0.016,gt
2015-12-15 13:51:53,-0.066,gt
2015-12-15 13:51:53,-0.066,gt
2015-12-15 13:51:53,-0.016,gt
2015-12-15 13:51:53,0.059,gt
2015-12-15 13:51:53,0.113,gt
2015-12-15 13:51:53,0.191,gt
2015-12-15 13:51:53,0.363,gt
2015-12-15 13:51:53,0.758,gt
2015-12-15 13:51:53,1.656,gt
2015-12-15 13:51:53,3.16,gt
2015-12-15 13:51:53,4.5,gt
2015-12-15 13:51:53,5,gt
2015-12-15 13:51:53,5.219,gt
2015-12-15 13:51:53,5.203,gt
2015-12-15 13:51:53,4.992,gt
2015-12-15 13:51:53,4.559,gt
2015-12-15 13:51:53,3.984,gt
2015-12-15 13:51:53,3.352,gt
2015-12-15 13:51:53,2.656,gt
2015-12-15 13:51:53,1.941,gt
2015-12-15 13:51:53,1.336,gt
2015-12-15 13:51:53,0.82,gt
2015-12-15 13:51:53,0.344,gt
2015-12-15 13:51:53,-0.078,gt
2015-12-15 13:51:53,-0.348,gt
2015-12-15 13:51:53,-0.406,gt
2015-12-15 13:51:53,-0.336,gt
2015-12-15 13:51:53,-0.246,gt
2015-12-15 13:51:53,-0.234,gt
2015-12-15 13:51:53,-0.344,gt
2015-12-15 13:51:53,-0.52,gt
2015-12-15 13:51:53,-0.691,gt
2015-12-15 13:51:53,-0.789,gt
2015-12-15 13:51:53,-0.805,gt
2015-12-15 13:51:53,-0.758,gt
2015-12-15 13:51:53,-0.637,gt
2015-12-15 13:51:53,-0.469,gt
2015-12-15 13:51:53,-0.301,gt
2015-12-15 13:51:53,-0.188,gt
2015-12-15 13:51:53,0.117,gt
2015-12-15 13:51:53,0.809,gt
2015-12-15 13:51:53,2.332,gt
2015-12-15 13:51:53,4.285,gt
2015-12-15 13:51:53,5.285,gt
2015-12-15 13:51:53,5.082,gt
2015-12-15 13:51:53,4.695,gt
2015-12-15 13:51:53,4.254,gt
2015-12-15 13:51:53,3.754,gt
2015-12-15 13:51:53,3.227,gt
2015-12-15 13:51:54,2.699,gt
2015-12-15 13:51:54,2.172,gt
2015-12-15 13:51:54,1.641,gt
2015-12-15 13:51:54,1.145,gt
2015-12-15 13:51:54,0.77,gt
2015-12-15 13:51:54,0.539,gt
2015-12-15 13:51:54,0.473,gt
2015-12-15 13:51:54,0.52,gt
2015-12-15 13:51:54,0.563,gt
2015-12-15 13:51:54,0.508,gt
2015-12-15 13:51:54,0.363,gt
2015-12-15 13:51:54,0.191,gt
2015-12-15 13:51:54,0.047,gt
2015-12-15 13:51:54,-0.055,gt
2015-12-15 13:51:54,-0.098,gt
2015-12-15 13:51:54,-0.066,gt
2015-12-15 13:51:54,0.02,gt
2015-12-15 13:51:54,0.148,gt
2015-12-15 13:51:54,0.313,gt
2015-12-15 13:51:54,0.516,gt
2015-12-15 13:51:54,0.887,gt
2015-12-15 13:51:54,1.715,gt
2015-12-15 13:51:54,3.203,gt
2015-12-15 13:51:54,4.738,gt
2015-12-15 13:51:54,5.473,gt
2015-12-15 13:51:54,5.691,gt
2015-12-15 13:51:54,5.332,gt
2015-12-15 13:51:54,4.465,gt
2015-12-15 13:51:54,3.488,gt
2015-12-15 13:51:54,2.746,gt
